,word,lemma,pos,nmb_text,nmb_sent,nmb_word
574,ему,он,NPRO,6,5,11
575,услышав,услышать,GRND,6,6,1
576,это,это,PRCL,6,6,2
577,ирод,ирод,NOUN,6,6,3
578,царь,царь,NOUN,6,6,4
579,встревожился,встревожиться,VERB,6,6,5
580,и,и,CONJ,6,6,6
581,весь,весь,ADJF,6,6,7
582,иерусалим,иерусалим,NOUN,6,6,8
583,с,с,PREP,6,6,9
584,ним,они,NPRO,6,6,10
585,и,и,CONJ,6,7,1
586,собрав,собрать,GRND,6,7,2
587,всех,весь,ADJF,6,7,3
588,первосвященников,первосвященник,NOUN,6,7,4
589,и,и,CONJ,6,7,5
590,книжников,книжник,NOUN,6,7,6
591,народных,народный,ADJF,6,7,7
592,спрашивал,спрашивать,VERB,6,7,8
593,у,у,PREP,6,7,9
594,них,они,NPRO,6,7,10
595,где,где,ADVB,6,7,11
596,должно,должный,ADJS,6,7,12
597,родиться,родиться,INFN,6,7,13
598,христу,христос,NOUN,6,7,14
599,они,они,NPRO,6,8,1
600,же,же,PRCL,6,8,2
601,сказали,сказать,VERB,6,8,3
602,ему,он,NPRO,6,8,4
603,в,в,PREP,6,8,5
604,вифлееме,вифлеем,NOUN,6,8,6
605,иудейском,иудейский,ADJF,6,8,7
606,ибо,ибо,CONJ,6,8,8
607,так,так,CONJ,6,8,9
608,написано,написать,PRTS,6,8,10
609,чрез,чрез,PREP,6,8,11
610,пророка,пророк,NOUN,6,8,12
611,``,``,,6,8,13
612,и,и,CONJ,6,8,14
613,ты,ты,NPRO,6,8,15
614,вифлеем,вифлеем,NOUN,6,8,16
615,земля,земля,NOUN,6,8,17
616,иудина,иудин,NOUN,6,8,18
617,ничем,ничто,NPRO,6,8,19
618,не,не,PRCL,6,8,20
619,меньше,маленький,COMP,6,8,21
620,воеводств,воеводство,NOUN,6,8,22
621,иудиных,иудин,NOUN,6,8,23
622,ибо,ибо,CONJ,6,8,24
623,из,из,PREP,6,8,25
624,тебя,ты,NPRO,6,8,26
625,произойдёт,произойти,VERB,6,8,27
626,вождь,вождь,NOUN,6,8,28
627,который,который,ADJF,6,8,29
628,упасёт,упасти,VERB,6,8,30
629,народ,народ,NOUN,6,8,31
630,мой,мой,ADJF,6,8,32
631,израиля,израиль,NOUN,6,8,33
632,'','',,6,8,34
633,--,--,,7,1,1
634,я,я,NPRO,7,1,2
635,прочитав,прочитать,GRND,7,1,3
636,над,над,PREP,7,1,4
637,входом,вход,NOUN,7,1,5
638,в,в,PREP,7,1,6
639,вышине,вышина,NOUN,7,1,7
640,такие,такой,ADJF,7,1,8
641,знаки,знак,NOUN,7,1,9
642,сумрачного,сумрачный,ADJF,7,1,10
643,цвета,цвет,NOUN,7,1,11
644,сказал,сказать,VERB,7,1,12
645,``,``,,7,1,13
646,учитель,учитель,NOUN,7,1,14
647,смысл,смысл,NOUN,7,1,15
648,их,они,NPRO,7,1,16
649,страшен,страшный,ADJS,7,1,17
650,мне,я,NPRO,7,1,18
651,'','',,7,1,19
652,он,он,NPRO,7,2,1
653,прозорливый,прозорливый,ADJF,7,2,2
654,отвечал,отвечать,VERB,7,2,3
655,на,на,PREP,7,2,4
656,это,это,PRCL,7,2,5
657,``,``,,7,2,6
658,здесь,здесь,ADVB,7,2,7
659,нужно,нужно,PRED,7,2,8
660,чтобы,чтобы,CONJ,7,2,9
661,душа,душа,NOUN,7,2,10
662,была,быть,VERB,7,2,11
663,тверда,твёрдый,ADJS,7,2,12
664,здесь,здесь,ADVB,7,2,13
665,страх,страх,NOUN,7,2,14
